1978; Kyoto Municipal Tramway; place; 1; noteasy; Kyoto's municipal streetcar system is dismantled.; Public domain; Inaugurated in 1895 (Meiji 28), Kyoto's extensive tram network was the first to open in Japan.; A street... car? Don't people in the Outside World usually drive on streets? That doesn't make sense...
1978; K&R C; tech; 0; noteasy; Kerninghan and Ritchie publish the first edition of The C Programming Language.; Public domain; Decades after its publication, The C Programming Language is still regarded by many people as THE reference for anything C-related.; Did you know my powers also apply to programming languages? I could give courses on how to program simple machines in Pascal, ML or Lisp, but today's kids don't seem very interested...
1982; NEC PC-98; tech; 1; easy; NEC starts production of its PC-98 personal computer.; See attribution; The PC-9801 is the first generation of PC-98 machines, the most successful Japanese personal computer at the time which is also the target platform for older Touhou games.; Whoa! There's a mini-Reimu moving on the screen! What a strange machine...

1983; Original NES; event; 1; easy; Nintendo releases the NES (Famicom) in Japan.; Public domain; The Nintendo Entertainment System, known as the Famicom in Japan, is widely regarded as one of the most influential consoles.; /

1984; Akatani Line; place; 1; akyuu; Akatani, Shibata City (Niigata Pref.) loses its rail connection.; See attribution; The Akatani Line was a short unelectrified line that provided rail service to (notably) the Ijimino, Yamauchi and Akatani communities. Higashi-akatani Station, the southern end station of the line which also was an industrial hub, is nowadays an empty area.; /

1985; JAL Flight 123; event; 1; easy; 520 people perish in the crash of a Boeing 747 in southern Gunma Prefecture.; See attribution; The crash of Japan Airlines Flight 123 is also the deadliest involving a single airliner.; So it seems that in the Outside World, humans need these metal terror machines to be able to fly... wait. Keine, your theorem is wrong again it seems!

1987; GCC; tech; 0; noteasy; The first version of the C family compiler GCC is released.; TODO; GCC, a key element of the GNU toolchain, was first written by free software advocate Richard Stallman. As C became the <i>lingua franca</i> for everything Unix-related, GCC grew to become one of the biggest pieces of free software.; /

1988; Gare de Lyon disaster; event; 0; noteasy; A collision at Paris Gare de Lyon leaves 56 dead.; See attribution; On June 27, 1988, a brakeless commuter train slams into another one at Paris Gare de Lyon's underground station.; These are scary machines. I'm glad we don't have them in Gensokyo... not that we'd need them anyways.

1989; Berlin Wall; event; 0; easy; The Berlin Wall falls.; See attribution; The 155 km-long wall that separated West- and East-Berlin is torn down. Kosuzu read an article about this.; True!
1989; Game Boy; tech; 1; easy; Nintendo releases the Game Boy in Japan.; Public domain; For those of you who didn't know it (???), the Game Boy is a legendary handheld console that introduced the concept of interchangeable cartridges. Think a Nintendo Switch with the specs of a Nokia 3310. Sad there's no Touhou on this platform, but I guess it would be very impractical.; Seems like many kids have one today. Apparently they're very fond of a game where you can collect animal-like creatures such as an electric rodent.

1991; Takisato Station; place; 1; akyuu; Takisato Station, in Ashibetsu City, closes.; See attribution; Takisato Station was a station on the Nemuro Main Line in Ashibetsu City. The station closed when the line was rerouted, some time before the Takisato Dam opened, submerging the entire valley.; /

1995; Tokyo subway attacks; event; 1; noteasy; 14 die in a terrorist attack in the Tokyo subway.; See attribution; Fourteen people are killed by sarin gas inhalation in four packed Eidan (now Tokyo Metro) trains. This terrorist attack was linked to the Aum Shinrikyo cult.; /
1995; Hanshin-Awaji earthquake; event; 1; easy; A M7.3 magnitude earthquake causes chaos in southern Hyogo and Awaji.; See attribution; At 5:46 AM, on January 17, 1995, the Southern Hyogo 1995 earthquake causes extensive damage in many locations in Hyogo and Osaka prefectures.; /

1995; Windows 95; tech; 0; easy; Microsoft releases the Windows 95 OS.; Public domain; Windows 95 was a major overhaul of the previous Microsoft Windows generation, featuring elements that still exist in modern-day Windows versions, such as a taskbar.; Some old magazines in Suzunaan talk about this "Windows" machine, but I've never seen one here...
1999; Takisato Dam; place; 1; akyuu; The Takisato Dam, in central Hokkaido, is put into service.; Public domain; Takisato was a small village located in Ashibetsu City, Hokkaido, that was submerged when the dam opened. The memories of dozens of villagers are now deep under the lake's surface...; A sunken rural village, lost forever to the forces of nature... No, I don't want to think about this anymore :'(

1999; That one German law; event; 0; noteasy; A law about cattle marking and beef labeling is proposed in Germany.; TODO; The name of that law which is too long to fit on the card, but is commonly abbreviated as "RkReÜAÜG", has been nominated by the Association for the German Language for Word of the Year.; Oh yeah, that famous law about cattle marking and beef labeling supervision duties delegation. In German, they also pronounce it (absolutely butchers the word).

2012; Minitel; d_tech; 0; akyuu; The French Minitel network is shut down.; See attribution; The Minitel was the name of a French terminal-based computer that allowed connection to the Télétel network, predating the Internet by a few years. It has since become a part of French pop culture, making appearances in various French movies.; I can use my powers on computer programs, but I never knew how to use this machine... even though some people in the village tell me I needed to type in "3615 ULLA" or something like this.

2024; Nintendo 3DS; d_tech; 1; easy; The Nintendo 3DS' online services are terminated.; Public domain; Since April 8, 2024, it is no longer possible to access online services on the Nintendo 3DS and Wii U.; It's still relatively new. I don't think anyone would consider it a retro console...
